date,open,high,low,close,source
2026-06-26,46188.6,46188.6,44454.22,44571.76,TWII
2026-06-29,44594.81,45521.63,44594.81,44999.9,TWII
2026-06-30,45165.8,46637.86,45165.8,46125.91,TWII
2026-07-01,46234.7,47293.1,46234.7,47018.99,TWII
2026-07-02,46833.89,46910.31,45981.89,46744.16,TWII
2026-07-03,46545.14,46948.83,45880.69,46780.62,TWII
2026-07-06,46897.18,47395.3,46431.38,46556.39,TWII
2026-07-07,46537.34,46967.04,45432.02,45479.11,TWII
2026-07-08,45524.69,45837.12,45036.64,45734.41,TWII
2026-07-09,45805.62,46064.06,45352.41,45354.61,TWII
2026-07-13,45500.32,46330.91,45272.9,45380.52,TWII
2026-07-14,45364.4,45364.4,43654.04,44737.95,TWII
2026-07-15,44850.69,45881.91,44850.69,45631.59,TWII
2026-07-16,45511.98,45855.02,44970.64,45624.98,TWII
2026-07-17,45234.08,45234.08,42671.27,42671.27,TWII
2026-07-20,42793.15,43084.51,41967.75,42449.7,TWII
2026-07-21,42566.93,44232.87,42566.93,44232.87,TWII
2026-07-22,44513.75,45323.75,44513.75,44825.78,TWII
2026-07-23,44899.04,45089.82,44340.76,44850.81,TWII
2026-07-24,44769.39,44769.39,43607.4,43654.84,TWII
2026-07-27,43585.92,43686.15,42969.48,43634.19,TWII
2026-07-28,43221.93,43221.93,41565.0,41603.36,TWII
2026-07-29,41491.48,41698.39,39384.85,40039.18,TWII
2026-07-30,40048.94,41155.42,39404.65,39933.3,TWII
2026-07-31,41610.41,43214.36,41610.41,43119.75,TWII
2026-08-03,42780.42,43784.19,42780.42,43386.41,TWII
2026-08-04,43092.49,43912.77,42895.81,43360.66,TWII
2026-08-05,43809.83,44980.31,43809.83,44611.6,TWII
2026-08-06,44487.94,44601.24,44024.32,44396.7,TWII
2026-08-07,44450.19,44827.13,43941.56,44225.91,TWII
2026-08-10,44540.71,45219.4,44540.71,44928.76,TWII
2026-08-11,44883.9,45195.41,44652.06,45120.72,TWII
2026-08-12,45175.7,45529.48,45175.7,45518.07,TWII
2026-08-13,45676.54,46216.41,45676.54,46021.48,TWII
2026-08-14,46103.81,46402.6,45798.31,45811.01,TWII
2026-08-17,45841.17,46189.3,45765.07,45857.27,TWII
2026-08-18,45922.4,46064.09,45225.42,45308.68,TWII
2026-08-19,45071.34,45071.34,44308.71,44719.35,TWII
2026-08-20,44942.01,45160.05,44446.36,44933.74,TWII
2026-08-21,44923.34,45254.84,44583.87,45224.29,TWII
2026-08-24,45240.3,45362.3,44761.88,44762.32,TWII
2026-08-25,44728.36,45169.46,44210.31,45169.46,TWII
2026-08-26,45157.64,45878.39,44925.84,45832.62,TWII
2026-08-27,45890.18,46401.78,45890.18,45975.22,TWII
2026-08-28,46366.0,46580.0,46215.0,46357.0,TX
2026-08-31,46224.69,46224.69,45450.21,46128.47,TWII
